bssid,num_beacons,avg_jitter_ms,std_jitter_ms,num_positive_jitter,num_negative_jitter
12:f4:f0:24:b1:92,4951,21.671319128262635,204.89233627794314,4922,29
16:54:01:17:a8:e0,39,15.483051691299826,53.64245793414863,38,1
34:36:54:d4:79:03,5883,2.414108793812094,1.7506560510361673,5770,113
