packet_number,length,bssid,ta,ra,fc_type_subtype,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
35,199,ff:ff:ff:ff:ff:ff,da:a1:19:89:0e:93,ff:ff:ff:ff:ff:ff,0x0004,6,64,5320,5,False,False,-83,,,,1742833365.2770753,2025-03-24 18:22:45.277075
36,478,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,da:a1:19:89:0e:93,0x0005,6,64,5320,5,False,False,-66,,,2263143662201,1742833365.278426,2025-03-24 18:22:45.278426
37,66,,,d4:76:a0:d4:8c:18,0x001d,6,64,5320,5,False,False,-83,,,,1742833365.2784376,2025-03-24 18:22:45.278438
38,82,d4:76:a0:d4:8c:18,96:56:41:44:f5:ea,d4:76:a0:d4:8c:18,0x002c,6,64,5320,5,False,False,-82,,,,1742833365.278774,2025-03-24 18:22:45.278774
39,66,,,96:56:41:44:f5:ea,0x001d,6,64,5320,5,False,False,-66,,,,1742833365.278785,2025-03-24 18:22:45.278785
40,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.2818906,2025-03-24 18:22:45.281891
41,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-83,,,,1742833365.293504,2025-03-24 18:22:45.293504
42,460,d8:21:da:26:2a:75,d8:21:da:26:2a:75,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-87,,,959797145666,1742833365.2972383,2025-03-24 18:22:45.297238
43,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.3212266,2025-03-24 18:22:45.321227
44,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.32413,2025-03-24 18:22:45.324130
45,454,08:aa:89:74:ed:c5,08:aa:89:74:ed:c5,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-91,,,1326762905669,1742833365.3343508,2025-03-24 18:22:45.334351
46,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.340723,2025-03-24 18:22:45.340723
47,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.3465192,2025-03-24 18:22:45.346519
48,493,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-66,,,2263143731254,1742833365.3476245,2025-03-24 18:22:45.347625
49,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.350617,2025-03-24 18:22:45.350617
50,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.3726578,2025-03-24 18:22:45.372658
51,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.3960316,2025-03-24 18:22:45.396032
52,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-86,,,,1742833365.3975718,2025-03-24 18:22:45.397572
53,460,d8:21:da:26:2a:75,d8:21:da:26:2a:75,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-89,,,959797248757,1742833365.4008174,2025-03-24 18:22:45.400817
54,177,ff:ff:ff:ff:ff:ff,be:6a:e7:d8:47:01,ff:ff:ff:ff:ff:ff,0x0004,6,64,5320,5,False,False,-80,,,,1742833365.402247,2025-03-24 18:22:45.402247
55,478,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,be:6a:e7:d8:47:01,0x0005,6,64,5320,5,False,False,-67,,,2263143786738,1742833365.403102,2025-03-24 18:22:45.403102
56,66,,,d4:76:a0:d4:8c:18,0x001d,6,64,5320,5,False,False,-82,,,,1742833365.40312,2025-03-24 18:22:45.403120
57,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.4128454,2025-03-24 18:22:45.412845
58,177,ff:ff:ff:ff:ff:ff,be:6a:e7:d8:47:01,ff:ff:ff:ff:ff:ff,0x0004,6,64,5320,5,False,False,-80,,,,1742833365.4220953,2025-03-24 18:22:45.422095
59,478,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,be:6a:e7:d8:47:01,0x0005,6,64,5320,5,False,False,-66,,,2263143806908,1742833365.4232676,2025-03-24 18:22:45.423268
60,66,,,d4:76:a0:d4:8c:18,0x001d,6,64,5320,5,False,False,-79,,,,1742833365.4232795,2025-03-24 18:22:45.423280
