packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
29,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,433561682,1594650015.144801,2020-07-13 17:20:15.144801
30,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,433664048,1594650015.247182,2020-07-13 17:20:15.247182
31,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,433766448,1594650015.349572,2020-07-13 17:20:15.349572
32,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,433868882,1594650015.452056,2020-07-13 17:20:15.452056
33,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,433971268,1594650015.554431,2020-07-13 17:20:15.554431
34,311,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,00:0e:58:12:31:16,0x0005,0,9,1,2412,6,False,False,-36,,,434060644,1594650015.64381,2020-07-13 17:20:15.643810
35,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,434073648,1594650015.656804,2020-07-13 17:20:15.656804
36,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,434176108,1594650015.759188,2020-07-13 17:20:15.759188
37,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,434278493,1594650015.861562,2020-07-13 17:20:15.861562
38,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,434380888,1594650015.964069,2020-07-13 17:20:15.964069
39,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,434483256,1594650016.066344,2020-07-13 17:20:16.066344
40,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,434585676,1594650016.168823,2020-07-13 17:20:16.168823
41,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,434688092,1594650016.271199,2020-07-13 17:20:16.271199
42,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,434790467,1594650016.373593,2020-07-13 17:20:16.373593
43,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,434892909,1594650016.47608,2020-07-13 17:20:16.476080
44,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,434995255,1594650016.578332,2020-07-13 17:20:16.578332
45,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,435097679,1594650016.680835,2020-07-13 17:20:16.680835
46,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650016.775463,2020-07-13 17:20:16.775463
47,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650016.776466,2020-07-13 17:20:16.776466
48,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650016.777577,2020-07-13 17:20:16.777577
49,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650016.77858,2020-07-13 17:20:16.778580
50,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,435200758,1594650016.783839,2020-07-13 17:20:16.783839
51,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,435404859,1594650016.987969,2020-07-13 17:20:16.987969
52,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,435507296,1594650017.090473,2020-07-13 17:20:17.090473
53,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.103338,2020-07-13 17:20:17.103338
54,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.104337,2020-07-13 17:20:17.104337
